meanAge,position.longitude,precipitation,position.x,position.y,year,position.latitude,temperature,nTrees,meanHeight,step,replicate
12.0,-119.3629,494.9720,0.1020,0.9000,2035,35.8930,313.2287,10,9.8891,11,0
12.0,-118.7657,361.0547,0.4898,0.9000,2035,35.8930,313.0858,10,5.1608,11,0
12.0,-118.1371,249.9040,0.8980,0.9000,2035,35.8930,312.7692,10,0.0759,11,0
12.0,-119.3629,453.7766,0.1020,0.5000,2035,36.2650,300.3411,10,11.7920,11,0
12.0,-118.7657,404.9804,0.4898,0.5000,2035,36.2650,300.6323,10,4.5693,11,0
12.0,-118.1371,255.4650,0.8980,0.5000,2035,36.2650,301.0924,10,0.2009,11,0
12.0,-119.3629,479.5969,0.1020,0.1000,2035,36.6370,288.8917,10,10.1157,11,0
12.0,-118.7657,413.3471,0.4898,0.1000,2035,36.6370,288.0619,10,4.2698,11,0
12.0,-118.1371,296.0614,0.8980,0.1000,2035,36.6370,289.0852,10,0.1746,11,0
13.0,-119.3629,534.2824,0.1020,0.9000,2036,35.8930,312.0077,10,10.7156,12,0
13.0,-118.7657,398.5876,0.4898,0.9000,2036,35.8930,313.3001,10,5.5496,12,0
13.0,-118.1371,307.0217,0.8980,0.9000,2036,35.8930,313.0130,10,0.0790,12,0
13.0,-119.3629,519.0100,0.1020,0.5000,2036,36.2650,301.1874,10,12.7874,12,0
13.0,-118.7657,435.8878,0.4898,0.5000,2036,36.2650,300.5451,10,5.4599,12,0
13.0,-118.1371,284.4456,0.8980,0.5000,2036,36.2650,300.5562,10,0.2019,12,0
13.0,-119.3629,513.0697,0.1020,0.1000,2036,36.6370,288.7979,10,11.0064,12,0
13.0,-118.7657,371.1573,0.4898,0.1000,2036,36.6370,288.7723,10,4.3984,12,0
13.0,-118.1371,262.7742,0.8980,0.1000,2036,36.6370,288.2141,10,0.1748,12,0
14.0,-119.3629,495.0237,0.1020,0.9000,2037,35.8930,311.9253,10,11.5382,13,0
14.0,-118.7657,370.6282,0.4898,0.9000,2037,35.8930,313.0291,10,5.6658,13,0
14.0,-118.1371,279.9540,0.8980,0.9000,2037,35.8930,311.8550,10,0.0797,13,0
14.0,-119.3629,492.6623,0.1020,0.5000,2037,36.2650,300.4736,10,13.7688,13,0
14.0,-118.7657,378.5752,0.4898,0.5000,2037,36.2650,300.2162,10,5.6739,13,0
14.0,-118.1371,322.7497,0.8980,0.5000,2037,36.2650,301.2665,10,0.2115,13,0
14.0,-119.3629,485.4859,0.1020,0.1000,2037,36.6370,289.0111,10,11.8866,13,0
14.0,-118.7657,412.1693,0.4898,0.1000,2037,36.6370,288.4587,10,4.9786,13,0
14.0,-118.1371,227.3396,0.8980,0.1000,2037,36.6370,288.7147,10,0.1749,13,0
15.0,-119.3629,541.0954,0.1020,0.9000,2038,35.8930,312.1503,10,12.3739,14,0
15.0,-118.7657,362.0294,0.4898,0.9000,2038,35.8930,312.7414,10,5.7444,14,0
15.0,-118.1371,248.4748,0.8980,0.9000,2038,35.8930,312.4846,10,0.0798,14,0
15.0,-119.3629,537.1902,0.1020,0.5000,2038,36.2650,300.6714,10,14.7799,14,0
15.0,-118.7657,439.7830,0.4898,0.5000,2038,36.2650,300.9156,10,6.5888,14,0
15.0,-118.1371,304.8463,0.8980,0.5000,2038,36.2650,300.9979,10,0.2147,14,0
15.0,-119.3629,482.6837,0.1020,0.1000,2038,36.6370,288.3361,10,12.7422,14,0
15.0,-118.7657,430.7845,0.4898,0.1000,2038,36.6370,289.0829,10,5.7478,14,0
15.0,-118.1371,305.2971,0.8980,0.1000,2038,36.6370,288.3899,10,0.1777,14,0
16.0,-119.3629,591.6954,0.1020,0.9000,2039,35.8930,312.2571,10,13.1978,15,0
16.0,-118.7657,395.3268,0.4898,0.9000,2039,35.8930,312.3391,10,6.0989,15,0
16.0,-118.1371,282.5128,0.8980,0.9000,2039,35.8930,312.9671,10,0.0805,15,0
16.0,-119.3629,493.6971,0.1020,0.5000,2039,36.2650,300.7678,10,15.7939,15,0
16.0,-118.7657,408.7698,0.4898,0.5000,2039,36.2650,301.1691,10,7.2346,15,0
16.0,-118.1371,298.3128,0.8980,0.5000,2039,36.2650,300.7133,10,0.2169,15,0
16.0,-119.3629,534.7123,0.1020,0.1000,2039,36.6370,289.3819,10,13.6160,15,0
16.0,-118.7657,401.5277,0.4898,0.1000,2039,36.6370,289.0131,10,6.2017,15,0
16.0,-118.1371,257.9473,0.8980,0.1000,2039,36.6370,288.3855,10,0.1778,15,0
17.0,-119.3629,499.7492,0.1020,0.9000,2040,35.8930,312.4991,10,14.0204,16,0
17.0,-118.7657,374.8442,0.4898,0.9000,2040,35.8930,312.8144,10,6.2477,16,0
17.0,-118.1371,301.5898,0.8980,0.9000,2040,35.8930,312.7159,10,0.0827,16,0
17.0,-119.3629,513.7600,0.1020,0.5000,2040,36.2650,300.6198,10,16.7726,16,0
17.0,-118.7657,370.3120,0.4898,0.5000,2040,36.2650,300.9497,10,7.3816,16,0
17.0,-118.1371,328.1675,0.8980,0.5000,2040,36.2650,300.3049,10,0.2299,16,0
17.0,-119.3629,546.4729,0.1020,0.1000,2040,36.6370,288.5555,10,14.5001,16,0
17.0,-118.7657,384.4183,0.4898,0.1000,2040,36.6370,289.0743,10,6.4497,16,0
17.0,-118.1371,325.3358,0.8980,0.1000,2040,36.6370,288.5356,10,0.1875,16,0
18.0,-119.3629,531.3719,0.1020,0.9000,2041,35.8930,312.3635,10,14.8587,17,0
18.0,-118.7657,413.2690,0.4898,0.9000,2041,35.8930,312.4377,10,6.8212,17,0
18.0,-118.1371,303.2321,0.8980,0.9000,2041,35.8930,313.7373,10,0.0850,17,0
18.0,-119.3629,488.1590,0.1020,0.5000,2041,36.2650,300.4012,10,17.7834,17,0
18.0,-118.7657,373.6275,0.4898,0.5000,2041,36.2650,301.0088,10,7.5522,17,0
18.0,-118.1371,262.3982,0.8980,0.5000,2041,36.2650,300.3550,10,0.2302,17,0
18.0,-119.3629,564.3106,0.1020,0.1000,2041,36.6370,288.7249,10,15.3455,17,0
18.0,-118.7657,501.3049,0.4898,0.1000,2041,36.6370,289.2199,10,7.3040,17,0
18.0,-118.1371,296.9431,0.8980,0.1000,2041,36.6370,288.8032,10,0.1893,17,0
19.0,-119.3629,568.5812,0.1020,0.9000,2042,35.8930,312.1866,10,15.6919,18,0
19.0,-118.7657,371.2482,0.4898,0.9000,2042,35.8930,312.6472,10,6.9450,18,0
19.0,-118.1371,296.1120,0.8980,0.9000,2042,35.8930,313.5790,10,0.0866,18,0
19.0,-119.3629,516.4917,0.1020,0.5000,2042,36.2650,300.8241,10,18.7846,18,0
19.0,-118.7657,422.5825,0.4898,0.5000,2042,36.2650,301.1940,10,8.3388,18,0
19.0,-118.1371,240.9423,0.8980,0.5000,2042,36.2650,300.8916,10,0.2303,18,0
19.0,-119.3629,468.6029,0.1020,0.1000,2042,36.6370,288.7947,10,16.1553,18,0
19.0,-118.7657,375.6532,0.4898,0.1000,2042,36.6370,288.6557,10,7.4612,18,0
19.0,-118.1371,301.1901,0.8980,0.1000,2042,36.6370,289.1803,10,0.1916,18,0
20.0,-119.3629,544.3628,0.1020,0.9000,2043,35.8930,312.8316,10,16.5242,19,0
20.0,-118.7657,347.0657,0.4898,0.9000,2043,35.8930,313.2939,10,6.9765,19,0
20.0,-118.1371,248.4953,0.8980,0.9000,2043,35.8930,312.8263,10,0.0867,19,0
20.0,-119.3629,562.7797,0.1020,0.5000,2043,36.2650,300.8773,10,19.7833,19,0
20.0,-118.7657,410.7311,0.4898,0.5000,2043,36.2650,301.0787,10,8.9962,19,0
20.0,-118.1371,317.8360,0.8980,0.5000,2043,36.2650,301.3087,10,0.2375,19,0
20.0,-119.3629,463.1198,0.1020,0.1000,2043,36.6370,289.6896,10,17.0134,19,0
20.0,-118.7657,456.0822,0.4898,0.1000,2043,36.6370,288.8051,10,8.2886,19,0
20.0,-118.1371,261.5318,0.8980,0.1000,2043,36.6370,289.0367,10,0.1918,19,0
21.0,-119.3629,572.8514,0.1020,0.9000,2044,35.8930,312.0856,10,17.3722,20,0
21.0,-118.7657,385.1986,0.4898,0.9000,2044,35.8930,313.2908,10,7.2147,20,0
21.0,-118.1371,282.6064,0.8980,0.9000,2044,35.8930,313.4042,10,0.0874,20,0
21.0,-119.3629,537.0104,0.1020,0.5000,2044,36.2650,301.0298,10,20.7535,20,0
21.0,-118.7657,385.9502,0.4898,0.5000,2044,36.2650,301.4754,10,9.2987,20,0
21.0,-118.1371,239.5939,0.8980,0.5000,2044,36.2650,300.8577,10,0.2376,20,0
21.0,-119.3629,465.6863,0.1020,0.1000,2044,36.6370,289.0975,10,17.8784,20,0
21.0,-118.7657,340.2204,0.4898,0.1000,2044,36.6370,288.5151,10,8.3119,20,0
21.0,-118.1371,257.8384,0.8980,0.1000,2044,36.6370,289.9090,10,0.1920,20,0
22.0,-119.3629,561.4158,0.1020,0.9000,2045,35.8930,312.4830,10,18.2159,21,0
22.0,-118.7657,441.8371,0.4898,0.9000,2045,35.8930,313.1911,10,7.9571,21,0
22.0,-118.1371,221.0991,0.8980,0.9000,2045,35.8930,313.1564,10,0.0874,21,0
22.0,-119.3629,478.0887,0.1020,0.5000,2045,36.2650,301.3150,10,21.7655,21,0
22.0,-118.7657,316.2015,0.4898,0.5000,2045,36.2650,301.1996,10,9.3051,21,0
22.0,-118.1371,297.9096,0.8980,0.5000,2045,36.2650,300.8842,10,0.2397,21,0
22.0,-119.3629,556.9771,0.1020,0.1000,2045,36.6370,289.0876,10,18.7523,21,0
22.0,-118.7657,476.4580,0.4898,0.1000,2045,36.6370,289.2382,10,9.1593,21,0
22.0,-118.1371,323.6948,0.8980,0.1000,2045,36.6370,288.2159,10,0.2005,21,0
23.0,-119.3629,447.3506,0.1020,0.9000,2046,35.8930,313.1423,10,18.9987,22,0
23.0,-118.7657,359.1532,0.4898,0.9000,2046,35.8930,313.2360,10,8.0201,22,0
23.0,-118.1371,283.2795,0.8980,0.9000,2046,35.8930,313.0942,10,0.0881,22,0
23.0,-119.3629,543.3898,0.1020,0.5000,2046,36.2650,301.7920,10,22.7551,22,0
23.0,-118.7657,403.8736,0.4898,0.5000,2046,36.2650,301.5664,10,9.8650,22,0
23.0,-118.1371,307.9606,0.8980,0.5000,2046,36.2650,301.2757,10,0.2437,22,0
23.0,-119.3629,458.9494,0.1020,0.1000,2046,36.6370,289.5101,10,19.6088,22,0
23.0,-118.7657,329.5295,0.4898,0.1000,2046,36.6370,289.0906,10,9.1720,22,0
23.0,-118.1371,345.6352,0.8980,0.1000,2046,36.6370,289.3275,10,0.2322,22,0
24.0,-119.3629,509.0184,0.1020,0.9000,2047,35.8930,312.6905,10,19.8162,23,0
24.0,-118.7657,424.8528,0.4898,0.9000,2047,35.8930,314.0271,10,8.6698,23,0
24.0,-118.1371,270.0883,0.8980,0.9000,2047,35.8930,312.8892,10,0.0885,23,0
24.0,-119.3629,528.8216,0.1020,0.5000,2047,36.2650,301.5891,10,23.7608,23,0
24.0,-118.7657,434.4368,0.4898,0.5000,2047,36.2650,300.3689,10,10.7657,23,0
24.0,-118.1371,352.2674,0.8980,0.5000,2047,36.2650,301.3773,10,0.2967,23,0
24.0,-119.3629,511.4842,0.1020,0.1000,2047,36.6370,289.2850,10,20.5051,23,0
24.0,-118.7657,428.6568,0.4898,0.1000,2047,36.6370,288.9446,10,9.9009,23,0
24.0,-118.1371,319.2184,0.8980,0.1000,2047,36.6370,288.8184,10,0.2391,23,0
25.0,-119.3629,496.3686,0.1020,0.9000,2048,35.8930,313.4540,10,20.6018,24,0
25.0,-118.7657,424.8985,0.4898,0.9000,2048,35.8930,313.0818,10,9.3147,24,0
25.0,-118.1371,321.4730,0.8980,0.9000,2048,35.8930,313.6244,10,0.0954,24,0
25.0,-119.3629,473.1311,0.1020,0.5000,2048,36.2650,301.1542,10,24.7363,24,0
25.0,-118.7657,374.2618,0.4898,0.5000,2048,36.2650,301.1951,10,10.9403,24,0
25.0,-118.1371,335.5938,0.8980,0.5000,2048,36.2650,301.1413,10,0.3173,24,0
25.0,-119.3629,566.0509,0.1020,0.1000,2048,36.6370,289.1845,10,21.3816,24,0
25.0,-118.7657,372.0701,0.4898,0.1000,2048,36.6370,289.2641,10,10.0365,24,0
25.0,-118.1371,243.5978,0.8980,0.1000,2048,36.6370,289.4376,10,0.2392,24,0
26.0,-119.3629,484.3916,0.1020,0.9000,2049,35.8930,313.4115,10,21.4109,25,0
26.0,-118.7657,396.1847,0.4898,0.9000,2049,35.8930,313.8443,10,9.6650,25,0
26.0,-118.1371,262.5769,0.8980,0.9000,2049,35.8930,312.9732,10,0.0956,25,0
26.0,-119.3629,508.6887,0.1020,0.5000,2049,36.2650,300.9178,10,25.7298,25,0
26.0,-118.7657,457.7403,0.4898,0.5000,2049,36.2650,300.6180,10,11.9112,25,0
26.0,-118.1371,370.6749,0.8980,0.5000,2049,36.2650,300.8778,10,0.4636,25,0
26.0,-119.3629,577.5066,0.1020,0.1000,2049,36.6370,289.6357,10,22.2399,25,0
26.0,-118.7657,455.7669,0.4898,0.1000,2049,36.6370,289.4198,10,10.8831,25,0
26.0,-118.1371,236.6064,0.8980,0.1000,2049,36.6370,289.4990,10,0.2392,25,0
27.0,-119.3629,494.0915,0.1020,0.9000,2050,35.8930,313.5363,10,22.2066,26,0
27.0,-118.7657,452.1782,0.4898,0.9000,2050,35.8930,313.0807,10,10.4405,26,0
27.0,-118.1371,296.1136,0.8980,0.9000,2050,35.8930,313.6118,10,0.0972,26,0
27.0,-119.3629,481.6022,0.1020,0.5000,2050,36.2650,300.7837,10,26.7240,26,0
27.0,-118.7657,417.8059,0.4898,0.5000,2050,36.2650,300.9040,10,12.6593,26,0
27.0,-118.1371,271.6911,0.8980,0.5000,2050,36.2650,302.2058,10,0.4641,26,0
27.0,-119.3629,509.7087,0.1020,0.1000,2050,36.6370,289.1240,10,23.1047,26,0
27.0,-118.7657,413.9157,0.4898,0.1000,2050,36.6370,289.5862,10,11.4996,26,0
27.0,-118.1371,290.0639,0.8980,0.1000,2050,36.6370,289.8198,10,0.2404,26,0
28.0,-119.3629,494.9229,0.1020,0.9000,2051,35.8930,313.0706,10,23.0382,27,0
28.0,-118.7657,425.9965,0.4898,0.9000,2051,35.8930,314.1913,10,11.0702,27,0
28.0,-118.1371,244.6146,0.8980,0.9000,2051,35.8930,312.7627,10,0.0972,27,0
28.0,-119.3629,574.5848,0.1020,0.5000,2051,36.2650,301.4625,10,27.7031,27,0
28.0,-118.7657,385.8655,0.4898,0.5000,2051,36.2650,301.1827,10,12.9557,27,0
28.0,-118.1371,298.7947,0.8980,0.5000,2051,36.2650,301.6277,10,0.4664,27,0
28.0,-119.3629,460.0625,0.1020,0.1000,2051,36.6370,288.8067,10,23.9500,27,0
28.0,-118.7657,362.0080,0.4898,0.1000,2051,36.6370,289.1374,10,11.5797,27,0
28.0,-118.1371,275.0069,0.8980,0.1000,2051,36.6370,289.8250,10,0.2409,27,0
29.0,-119.3629,519.4236,0.1020,0.9000,2052,35.8930,314.0337,10,23.8241,28,0
29.0,-118.7657,392.8698,0.4898,0.9000,2052,35.8930,313.6270,10,11.3787,28,0
29.0,-118.1371,251.0398,0.8980,0.9000,2052,35.8930,314.2844,10,0.0973,28,0
29.0,-119.3629,429.8466,0.1020,0.5000,2052,36.2650,301.4550,10,28.5646,28,0
29.0,-118.7657,440.9109,0.4898,0.5000,2052,36.2650,301.3172,10,13.8943,28,0
29.0,-118.1371,312.9079,0.8980,0.5000,2052,36.2650,301.0797,10,0.4718,28,0
29.0,-119.3629,492.3313,0.1020,0.1000,2052,36.6370,289.7447,10,24.8446,28,0
29.0,-118.7657,384.0828,0.4898,0.1000,2052,36.6370,289.9105,10,11.8227,28,0
29.0,-118.1371,285.8928,0.8980,0.1000,2052,36.6370,288.9720,10,0.2418,28,0
30.0,-119.3629,495.6951,0.1020,0.9000,2053,35.8930,313.3933,10,24.6180,29,0
30.0,-118.7657,401.6970,0.4898,0.9000,2053,35.8930,313.4754,10,11.7931,29,0
30.0,-118.1371,256.8714,0.8980,0.9000,2053,35.8930,313.0367,10,0.0975,29,0
30.0,-119.3629,559.9128,0.1020,0.5000,2053,36.2650,301.8136,10,29.5887,29,0
30.0,-118.7657,404.2464,0.4898,0.5000,2053,36.2650,301.4803,10,14.4706,29,0
30.0,-118.1371,280.1196,0.8980,0.5000,2053,36.2650,301.4548,10,0.4725,29,0
30.0,-119.3629,547.4858,0.1020,0.1000,2053,36.6370,289.4033,10,25.7291,29,0
30.0,-118.7657,335.5817,0.4898,0.1000,2053,36.6370,289.3654,10,11.8400,29,0
30.0,-118.1371,261.2973,0.8980,0.1000,2053,36.6370,289.1089,10,0.2421,29,0
31.0,-119.3629,526.4073,0.1020,0.9000,2054,35.8930,314.2779,10,25.3777,30,0
31.0,-118.7657,347.7389,0.4898,0.9000,2054,35.8930,312.9622,10,11.8270,30,0
31.0,-118.1371,267.4021,0.8980,0.9000,2054,35.8930,313.6742,10,0.0978,30,0
31.0,-119.3629,576.0033,0.1020,0.5000,2054,36.2650,301.5111,10,30.5626,30,0
31.0,-118.7657,339.0097,0.4898,0.5000,2054,36.2650,301.6675,10,14.4953,30,0
31.0,-118.1371,234.1818,0.8980,0.5000,2054,36.2650,301.6426,10,0.4726,30,0
31.0,-119.3629,472.0921,0.1020,0.1000,2054,36.6370,290.0748,10,26.6026,30,0
31.0,-118.7657,445.5365,0.4898,0.1000,2054,36.6370,289.8855,10,12.6952,30,0
31.0,-118.1371,321.7695,0.8980,0.1000,2054,36.6370,289.6961,10,0.2502,30,0
32.0,-119.3629,451.7855,0.1020,0.9000,2055,35.8930,313.4119,10,26.1395,31,0
32.0,-118.7657,390.7797,0.4898,0.9000,2055,35.8930,313.3222,10,12.1230,31,0
32.0,-118.1371,339.4367,0.8980,0.9000,2055,35.8930,314.7127,10,0.1167,31,0
32.0,-119.3629,560.2416,0.1020,0.5000,2055,36.2650,301.2097,10,31.5527,31,0
